VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalesToPurchaseRatio
11567,CAMPARI AMERICA,3515,Skyy Infusions Citrus Vodka,15.5,19.99,1750.0,5821,90225.5,0,0,0,0,20964.81,-90225.5,-inf,0.0,0.0
8150,SEA HAGG DISTILLERY LLC,3598,Ice Pik Vodka,10.21,13.99,750.0,8830,90154.3,0,0,0,0,935.52,-90154.3,-inf,0.0,0.0
8004,SAZERAC CO INC,3899,Platinum 7X Distilled Vodka,2.2,2.99,375.0,40916,90015.2,0,0,0,0,50293.62,-90015.2,-inf,0.0,0.0
1392,CONSTELLATION BRANDS INC,6647,Estancia Chard,4.99,8.99,750.0,18021,89924.79000000001,0,0,0,0,79528.99,-89924.79000000001,-inf,0.0,0.0
1392,CONSTELLATION BRANDS INC,6938,Vendange Chard,4.69,9.99,1500.0,19157,89846.33,0,0,0,0,79528.99,-89846.33,-inf,0.0,0.0
8004,SAZERAC CO INC,5297,Southern Comfort,10.76,13.99,750.0,8334,89673.84,0,0,0,0,50293.62,-89673.84,-inf,0.0,0.0
8004,SAZERAC CO INC,5296,Southern Comfort 100 Proof,21.01,28.99,1750.0,4262,89544.62,0,0,0,0,50293.62,-89544.62,-inf,0.0,0.0
9552,M S WALKER INC,3041,Zhenka Pink Lemonade Vodka,5.83,9.99,1750.0,15351,89496.33,0,0,0,0,55551.82,-89496.33,-inf,0.0,0.0
3924,HEAVEN HILL DISTILLERIES,5165,Hpnotiq Liqueur,13.33,19.99,750.0,6713,89484.29000000001,0,0,0,0,14069.87,-89484.29000000001,-inf,0.0,0.0
17035,PERNOD RICARD USA,3584,Absolut Raspberri,12.49,16.99,750.0,7164,89478.36,0,0,0,0,123780.22,-89478.36,-inf,0.0,0.0
3252,E & J GALLO WINERY,8189,Camarena Silver Tequila,25.59,31.99,1750.0,3490,89309.09999999999,0,0,0,0,61966.91,-89309.09999999999,-inf,0.0,0.0
3960,DIAGEO NORTH AMERICA INC,3820,Smirnoff Citrus Vodka,13.33,22.99,1750.0,6699,89297.67,0,0,0,0,257032.07,-89297.67,-inf,0.0,0.0
9819,TREASURY WINE ESTATES,39146,Matua Svgn Bl Marlboro,6.53,9.99,750.0,13672,89278.16,0,0,0,0,14836.57,-89278.16,-inf,0.0,0.0
4425,MARTIGNETTI COMPANIES,42874,Decoy by Duckhorn Red Sonoma,11.38,21.99,750.0,7835,89162.3,0,0,0,0,144929.24,-89162.3,-inf,0.0,0.0
12546,JIM BEAM BRANDS COMPANY,4686,Courvoisier VS Cognac,42.96,54.99,1750.0,2075,89142.0,0,0,0,0,123880.97,-89142.0,-inf,0.0,0.0
12546,JIM BEAM BRANDS COMPANY,4410,Cruzan Mango Flavored Rum,7.93,9.99,750.0,11240,89133.2,0,0,0,0,123880.97,-89133.2,-inf,0.0,0.0
9165,ULTRA BEVERAGE COMPANY LLP,24829,Cecchi Chianti Classico,7.53,11.99,750.0,11824,89034.72,0,0,0,0,68054.7,-89034.72,-inf,0.0,0.0
